example_id                                                  | status | run_time        |
----------------------------------------------------------- | ------ | --------------- |
./spec/controllers/foods_controller_spec.rb[1:1:1]          | passed | 0.1087 seconds  |
./spec/controllers/foods_controller_spec.rb[1:1:2]          | passed | 0.02965 seconds |
./spec/controllers/foods_controller_spec.rb[1:2:1]          | passed | 0.04761 seconds |
./spec/controllers/foods_controller_spec.rb[1:2:2]          | passed | 0.03445 seconds |
./spec/controllers/foods_controller_spec.rb[1:3:1]          | passed | 0.01923 seconds |
./spec/controllers/foods_controller_spec.rb[1:3:2]          | passed | 0.01994 seconds |
./spec/controllers/foods_controller_spec.rb[1:4:1:1]        | passed | 0.04793 seconds |
./spec/controllers/foods_controller_spec.rb[1:4:1:2]        | passed | 0.04512 seconds |
./spec/controllers/foods_controller_spec.rb[1:4:2:1]        | passed | 0.03712 seconds |
./spec/controllers/foods_controller_spec.rb[1:4:2:2]        | passed | 0.03437 seconds |
./spec/controllers/foods_controller_spec.rb[1:5:1]          | passed | 0.06632 seconds |
./spec/controllers/foods_controller_spec.rb[1:5:2]          | passed | 0.03998 seconds |
./spec/controllers/foods_controller_spec.rb[1:6:1:1]        | passed | 0.02905 seconds |
./spec/controllers/foods_controller_spec.rb[1:6:1:2]        | passed | 0.02999 seconds |
./spec/controllers/foods_controller_spec.rb[1:6:2:1]        | passed | 0.029 seconds   |
./spec/controllers/foods_controller_spec.rb[1:6:2:2]        | passed | 0.02933 seconds |
./spec/controllers/recipe_foods_controller_spec.rb[1:1:1]   | passed | 0.04538 seconds |
./spec/controllers/recipe_foods_controller_spec.rb[1:2:1:1] | passed | 0.04941 seconds |
./spec/controllers/recipe_foods_controller_spec.rb[1:2:1:2] | passed | 0.04907 seconds |
./spec/controllers/recipe_foods_controller_spec.rb[1:2:2:1] | passed | 0.04395 seconds |
./spec/controllers/recipes_controller_spec.rb[1:1:1]        | passed | 0.02239 seconds |
./spec/controllers/recipes_controller_spec.rb[1:2:1]        | passed | 0.04257 seconds |
./spec/controllers/recipes_controller_spec.rb[1:3:1]        | passed | 0.01789 seconds |
./spec/controllers/recipes_controller_spec.rb[1:4:1:1]      | passed | 0.02894 seconds |
./spec/controllers/recipes_controller_spec.rb[1:4:1:2]      | passed | 0.02237 seconds |
./spec/controllers/recipes_controller_spec.rb[1:5:1]        | passed | 0.02821 seconds |
./spec/controllers/recipes_controller_spec.rb[1:6:1:1]      | passed | 0.0289 seconds  |
./spec/controllers/recipes_controller_spec.rb[1:6:1:2]      | passed | 0.02091 seconds |
./spec/controllers/recipes_controller_spec.rb[1:7:1]        | passed | 0.02948 seconds |
./spec/controllers/recipes_controller_spec.rb[1:7:2]        | passed | 0.0313 seconds  |
./spec/controllers/shopping_lists_controller_spec.rb[1:1:1] | passed | 0.0225 seconds  |
./spec/models/food_spec.rb[1:1:1:1]                         | passed | 0.0133 seconds  |
./spec/models/food_spec.rb[1:1:2:1]                         | passed | 0.01944 seconds |
./spec/models/food_spec.rb[1:1:2:2]                         | passed | 0.01594 seconds |
./spec/models/food_spec.rb[1:1:3:1]                         | passed | 0.02028 seconds |
./spec/models/food_spec.rb[1:1:3:2]                         | passed | 0.01068 seconds |
./spec/models/food_spec.rb[1:1:4:1]                         | passed | 0.0178 seconds  |
./spec/models/food_spec.rb[1:1:4:2]                         | passed | 0.01393 seconds |
